sample-id	forward-absolute-filepath	reverse-absolute-filepath
E1-1_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E1-1_Root_18S_S80_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E1-1_Root_18S_S80_L001_R2_001.fastq.gz
E1-2_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E1-2_Root_18S_S92_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E1-2_Root_18S_S92_L001_R2_001.fastq.gz
E1-N_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E1-N_Soil_18S_S104_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E1-N_Soil_18S_S104_L001_R2_001.fastq.gz
E1-S_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E1-S_Soil_18S_S116_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E1-S_Soil_18S_S116_L001_R2_001.fastq.gz
E2-1_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E2-1_Root_18S_S81_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E2-1_Root_18S_S81_L001_R2_001.fastq.gz
E2-2_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E2-2_Root_18S_S93_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E2-2_Root_18S_S93_L001_R2_001.fastq.gz
E2-N_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E2-N_Soil_18S_S105_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E2-N_Soil_18S_S105_L001_R2_001.fastq.gz
E2-S_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E2-S_Soil_18S_S117_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E2-S_Soil_18S_S117_L001_R2_001.fastq.gz
E3-1_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E3-1_Root_18S_S82_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E3-1_Root_18S_S82_L001_R2_001.fastq.gz
E3-2_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E3-2_Root_18S_S94_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E3-2_Root_18S_S94_L001_R2_001.fastq.gz
E3-N_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E3-N_Soil_18S_S106_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E3-N_Soil_18S_S106_L001_R2_001.fastq.gz
E3-S_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E3-S_Soil_18S_S118_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E3-S_Soil_18S_S118_L001_R2_001.fastq.gz
E4-1_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E4-1_Root_18S_S83_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E4-1_Root_18S_S83_L001_R2_001.fastq.gz
E4-2_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E4-2_Root_18S_S95_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E4-2_Root_18S_S95_L001_R2_001.fastq.gz
E4-N_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E4-N_Soil_18S_S107_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E4-N_Soil_18S_S107_L001_R2_001.fastq.gz
